teks,topik_tag
1 akhir kang jono memang nikmat hasil apa apa nama malu 2 bahkan lebih 3 tengah malam gelisah genting rumah lempar kali kali 4 kang jono naik pitam 5 keluar rumah hendak lari kejar laku laku 6 sia si 7 akhir masuk engah engah kursi latar waktu suasana kutip cerpen sebut malam hari dan sedih tengah malam dan takut sore hari dan tegang malam hari dan tegang,['cerpen']
1 astaga dewo seru ibu heran mas dewo tertawa apa apa kamu dandan wulan longo 2 gimana oke kan samar akting tadi ibu suruh jemput kamu kan besar wul jadi aku cukup awas pikir asyik kalau aku samar sekali latih akting mas dewo kaka sepupu wulan kuliah institut seni jurus teater 3 mas dewo jahat lihat nih wulan tunjuk lutut luka 4 maaf sebernarnya aku tadi mau tolong kamu malah lari kalimat tunjuk suasana kesal tokoh kutip cerpen sebut tanda dengannomor 1 2 3 4,"['cerpen', 'kutipan_cerpen', 'penokohan', 'tokoh_cerpen']"
1 bungkus adon kemudian halus 2 bagaimana jadi pimpin perintah 3 buat kerupuk udang 4 diris tipis tipis kemudian jemur kering 5 masak kurang lebih 30 menit angkat biar 6 campur tepung pati singkong garam bawang putih urut buat kerupuk udang tepat 2 1 4 5 6 3 2 6 1 5 4 3 2 4 5 6 1 3 2 5 6 1 4 3,['urutan']
1 dengar angin usir batang batang padi 2 matahari tenggelam 3 dengar senandung balik jendela 4 ada sepi 5 rumah kecil buka pintu pagar dasar puisi sebut larik majas sama tanda nomor 1 dan 2 1 dan 3 1 dan 4 1 dan 5,"['larik', 'majas', 'penggalan_puisi', 'puisi']"
1 dengar anin usir batang batang padi 2 matahari benam 3 dengar senandung balik jendela 4 ada sepi 5 rumah kecil buka pintu pagar dasar puisi sebut larik majas sama tanda nomor 1 dan 2 1 dan 3 1 dan 4 1 dan 5,"['larik_puisi', 'majas', 'puisi']"
1 gubernur dki jakarta sutiyoso target tumbuh ekonomi 2007 besar 6 6 2 optimis target capai pemabangunan skala besar dijakarta 3 kondisi ekonomi sisi makro baik 4 inflasi 2006 capai 9 9 2005 mecapai 16 6 tumbuh ekonomi 2006 besar 5 8 5 jadi 2007 tumbuh ekinomi capai target 6 6 kata sutiyoso wartawan kritik target sutiyoso baca sebut kita dukung target sutiyoso pada bidang ekonomi seluruh warrga dki dukung bijak sutiyoso untuk capai target harus serta usaha yang maksimal perintah tanggung jawab dalam capai target didik,['teks_diskusi']
1 jalan tol macet guna rasa rugi 2 blokir jadi sejak kamis malam akhir jumat siang pekan lalu 3 unjuk rasa bongkar sendiri tenda tutup jalan denga tetap tuntun janji bayar ganti rugi cepat 4 besar tuntut rp 3 miliar harga 1 727 meter persegi kalimat isi dapat teks sebut dapat kalimat nomor 1 2 3 4,"['bacaan', 'kalimat', 'kalimat_efektif', 'kritikan', 'perbaikan_kalimat', 'teks_berita', 'ulasan', 'ulasan_kalimat']"
1 jual cepat rumah tipe 48 90 rumah kota wisata cluster 2 bebas banjir 3 kondisi standar bagus 4 harga 220 jt nego kalimat fakta iklan sebut 1 dan 2 1 dan 4 2 dan 3 3 dan 4,['teks_prosedural']
1 jual cepat rumah tipe 48 90 rumah kota wisata cluster 2 bebas banjir 3 kondisi standar bagus 4 harga 220 jt nego kalimat opini iklan sebut 1 dan 2 1 dan 4 2 dan 3 3 dan 4,['teks_prosedural']
1 kasih 2 jenak aku sandar bahu 3 nikmat cantik rembulan malam 4 pandang cahaya kerlip bintang larik majas puisi sebut tanda nomor 1 2 3 4,"['larik', 'majas', 'penggalan_puisi', 'puisi']"
