"id_soal","id_matpel","id_topik","judul_topik","id_sub_topik","judul_sub_topik","id_tag","tag","konten_soal","opsi_1","opsi_2","opsi_3","opsi_4","kunci_jawaban"
"1844","3","26","Menggapai Cita Melalui Kreativitas","62","Teks Prosedur","2496","berita","<p><strong>Perhatikan kutipan berita berikut</strong></p>
<p>Adam Malik sudah aktif berorganisasi sejak remaja. Pada usia 17 tahun, ia menjadi Ketua Postindo di Pematang Siantar (1934-1935). Karier jurnalistiknya dimulai ketika menjadi penulis di majalah Partindo dan surat kabr Pelita Andalas. Ia memutuskan untuk merantau di Jakarta karena ingin berbakti kepada bangsa dan negara.</p>
<p>Isi kutipan berita tersebut adalah &hellip;</p>
<p>&nbsp;</p>","<p>Adam Malik aktif di organisasi kepemudaan.</p>","<p>Adam Malik ahli jurnalistik di media cetak.</p>","<p>Adam Malik seorang jurnalistik yang aktif berorganisasi.</p>","<p>Seorang jurnalistik yang menjadi diplomat.</p>","C"
"1844","3","28","Mengulas Berbagai Karya Sastra","64","Teks Ulasan","2496","berita","<p><strong>Perhatikan kutipan berita berikut</strong></p>
<p>Adam Malik sudah aktif berorganisasi sejak remaja. Pada usia 17 tahun, ia menjadi Ketua Postindo di Pematang Siantar (1934-1935). Karier jurnalistiknya dimulai ketika menjadi penulis di majalah Partindo dan surat kabr Pelita Andalas. Ia memutuskan untuk merantau di Jakarta karena ingin berbakti kepada bangsa dan negara.</p>
<p>Isi kutipan berita tersebut adalah &hellip;</p>
<p>&nbsp;</p>","<p>Adam Malik aktif di organisasi kepemudaan.</p>","<p>Adam Malik ahli jurnalistik di media cetak.</p>","<p>Adam Malik seorang jurnalistik yang aktif berorganisasi.</p>","<p>Seorang jurnalistik yang menjadi diplomat.</p>","C"
"1844","3","73","Lingkungan","220","menemukan pokok-pokok berita  ","2496","berita","<p><strong>Perhatikan kutipan berita berikut</strong></p>
<p>Adam Malik sudah aktif berorganisasi sejak remaja. Pada usia 17 tahun, ia menjadi Ketua Postindo di Pematang Siantar (1934-1935). Karier jurnalistiknya dimulai ketika menjadi penulis di majalah Partindo dan surat kabr Pelita Andalas. Ia memutuskan untuk merantau di Jakarta karena ingin berbakti kepada bangsa dan negara.</p>
<p>Isi kutipan berita tersebut adalah &hellip;</p>
<p>&nbsp;</p>","<p>Adam Malik aktif di organisasi kepemudaan.</p>","<p>Adam Malik ahli jurnalistik di media cetak.</p>","<p>Adam Malik seorang jurnalistik yang aktif berorganisasi.</p>","<p>Seorang jurnalistik yang menjadi diplomat.</p>","C"
"1844","3","28","Mengulas Berbagai Karya Sastra","64","Teks Ulasan","2762","kutipan_berita","<p><strong>Perhatikan kutipan berita berikut</strong></p>
<p>Adam Malik sudah aktif berorganisasi sejak remaja. Pada usia 17 tahun, ia menjadi Ketua Postindo di Pematang Siantar (1934-1935). Karier jurnalistiknya dimulai ketika menjadi penulis di majalah Partindo dan surat kabr Pelita Andalas. Ia memutuskan untuk merantau di Jakarta karena ingin berbakti kepada bangsa dan negara.</p>
<p>Isi kutipan berita tersebut adalah &hellip;</p>
<p>&nbsp;</p>","<p>Adam Malik aktif di organisasi kepemudaan.</p>","<p>Adam Malik ahli jurnalistik di media cetak.</p>","<p>Adam Malik seorang jurnalistik yang aktif berorganisasi.</p>","<p>Seorang jurnalistik yang menjadi diplomat.</p>","C"
"1844","3","73","Lingkungan","220","menemukan pokok-pokok berita  ","2762","kutipan_berita","<p><strong>Perhatikan kutipan berita berikut</strong></p>
<p>Adam Malik sudah aktif berorganisasi sejak remaja. Pada usia 17 tahun, ia menjadi Ketua Postindo di Pematang Siantar (1934-1935). Karier jurnalistiknya dimulai ketika menjadi penulis di majalah Partindo dan surat kabr Pelita Andalas. Ia memutuskan untuk merantau di Jakarta karena ingin berbakti kepada bangsa dan negara.</p>
<p>Isi kutipan berita tersebut adalah &hellip;</p>
<p>&nbsp;</p>","<p>Adam Malik aktif di organisasi kepemudaan.</p>","<p>Adam Malik ahli jurnalistik di media cetak.</p>","<p>Adam Malik seorang jurnalistik yang aktif berorganisasi.</p>","<p>Seorang jurnalistik yang menjadi diplomat.</p>","C"
"1850","3","25","Menepis Lupa Jasa Inspirator Bangsa","61","Puisi Jasa Pahlawan","2392","puisi","<p>Senja yang kelabu</p>
<p>Mentari sembunyi dibalik awan</p>
<p>Pepohonan enggan bergerak</p>
<p>[ &hellip; ]</p>
<p>Larik bermajas untuk melengkapi bait puisi tersebut adalah &hellip; </p>","<p>Satwa digiring ke kandang.</p>","<p>Burung diam membisu.</p>","<p>Dahan mulai mongering.</p>","<p>Camar beterbangan.</p>","B"
"1850","3","26","Menggapai Cita Melalui Kreativitas","62","Teks Prosedur","2392","puisi","<p>Senja yang kelabu</p>
<p>Mentari sembunyi dibalik awan</p>
<p>Pepohonan enggan bergerak</p>
<p>[ &hellip; ]</p>
<p>Larik bermajas untuk melengkapi bait puisi tersebut adalah &hellip; </p>","<p>Satwa digiring ke kandang.</p>","<p>Burung diam membisu.</p>","<p>Dahan mulai mongering.</p>","<p>Camar beterbangan.</p>","B"
"1850","3","27","Memecahkan Permasalahan Dampak Teknologi lewat Diskusi","63","Teks Diskusi","2392","puisi","<p>Senja yang kelabu</p>
<p>Mentari sembunyi dibalik awan</p>
<p>Pepohonan enggan bergerak</p>
<p>[ &hellip; ]</p>
<p>Larik bermajas untuk melengkapi bait puisi tersebut adalah &hellip; </p>","<p>Satwa digiring ke kandang.</p>","<p>Burung diam membisu.</p>","<p>Dahan mulai mongering.</p>","<p>Camar beterbangan.</p>","B"
"1850","3","28","Mengulas Berbagai Karya Sastra","64","Teks Ulasan","2392","puisi","<p>Senja yang kelabu</p>
<p>Mentari sembunyi dibalik awan</p>
<p>Pepohonan enggan bergerak</p>
<p>[ &hellip; ]</p>
<p>Larik bermajas untuk melengkapi bait puisi tersebut adalah &hellip; </p>","<p>Satwa digiring ke kandang.</p>","<p>Burung diam membisu.</p>","<p>Dahan mulai mongering.</p>","<p>Camar beterbangan.</p>","B"
"1850","3","73","Lingkungan","223","menulis puisi bebas ","2392","puisi","<p>Senja yang kelabu</p>
<p>Mentari sembunyi dibalik awan</p>
<p>Pepohonan enggan bergerak</p>
<p>[ &hellip; ]</p>
<p>Larik bermajas untuk melengkapi bait puisi tersebut adalah &hellip; </p>","<p>Satwa digiring ke kandang.</p>","<p>Burung diam membisu.</p>","<p>Dahan mulai mongering.</p>","<p>Camar beterbangan.</p>","B"
"1850","3","75","Kesenian","231","menulis puisi bebas","2392","puisi","<p>Senja yang kelabu</p>
<p>Mentari sembunyi dibalik awan</p>
<p>Pepohonan enggan bergerak</p>
<p>[ &hellip; ]</p>
<p>Larik bermajas untuk melengkapi bait puisi tersebut adalah &hellip; </p>","<p>Satwa digiring ke kandang.</p>","<p>Burung diam membisu.</p>","<p>Dahan mulai mongering.</p>","<p>Camar beterbangan.</p>","B"
